"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"060133551",0.547847306954855,84861,154899
"060133552",0.77716112686252,12883,16577
"060133553",0.529602935974531,23955,45232
"060133560",0.247295647483036,8710,35221
"060133570",0.492660836976889,3155,6404
"060133580",0.488587340183544,6229,12749
"060133591",0.767640468439521,18157,23653
"060133592",0.744329553035357,17852,23984
"060133601",0.352896224973254,9236,26172
"060133602",0.5,5094,10188
"060133610",0.404262019735461,3851,9526
"060133620",0.5,2961,5922
"060133630",0.33530085455026,7612,22702
"060133640",0.334339923651074,5868,17551
"060133650",0.649985619787173,11300,17385
"060133660",1,11119,11119
"060133671",0.5,5941,11882
"060133672",0.5,5754,11508
"060133680",1,9615,9615
"060133690",0.771949554181059,9610,12449
"060133700",0.5,2953,5906
"060133710",1,5995,5995
"060133720",1,8009,8009
"060133730",0.5,4711,9422
"060133740",1,4994,4994
"060133750",1,4869,4869
"060133760",1,6941,6941
"060133770",1,7725,7725
"060133780",0.49743062692703,3872,7784
"060133790",1,7255,7255
"060133800",1,7422,7422
"060133810",1,7261,7261
"060133820",1,8334,8334
"060133830",1,4969,4969
"060133840",0.5,4180,8360
"060133851",0.5,2886,5772
"060133852",1,1453,1453
"060133860",1,3500,3500
"060133870",1,2993,2993
"060133880",1,2819,2819
"060133891",1,2434,2434
"060133892",1,1907,1907
"060133901",1,2376,2376
"060133902",1,1860,1860
"060133910",1,2737,2737
"060133920",1,2609,2609
"060133922",0.499169281890345,10816,21668
"060133923",1,3742,3742
"060139800",1,491,491
"060150001",0.566607665076189,14725,25988
"060150002",0.0404538058217321,895,22124
"060170302",0.999089667728721,4390,4394
"060170303",1,5606,5606
"060170304",0.649616139975004,7277,11202
"060170305",0.457017217886783,7379,16146
"060170307",0.693172091389944,31583,45563
"060170308",0.34224654273554,26456,77301
"060170309",0.0237260548391136,379,15974
"060170310",0.381612290148875,4819,12628
"060170311",0.369985800496983,4169,11268
"060170312",0.443959666472755,4579,10314
"060170313",0.0397907033341446,654,16436
"060170315",0.300872394931801,8691,28886
"060170316",0.674700825889095,4003,5933
"060170317",1,3660,3660
"060170318",0.97969837587007,6756,6896
"060170320",0.714893617021277,672,940
"060190001",1,3840,3840
"060190002",1,3251,3251
"060190003",1,3755,3755
"060190004",1,5384,5384
"060190005",1,5937,5937
"060190006",1,6285,6285
"060190007",0.719355422777476,3973,5523
"060190009",0.998274799753543,8101,8115
"060190010",0.313887127457197,4455,14193
"060190011",1,3185,3185
"060190012",0.5,10697,21394
"060190013",1,13504,13504
"060190014",0.445476172912364,48311,108448
"060190015",0.2401636764243,1526,6354
"060190016",0.262734082397004,4209,16020
"060190017",0.236293499671701,2879,12184
"060190018",0.014691254112786,192,13069
"060190020",0.333333333333333,6452,19356
"060190021",1,5566,5566
"060190022",1,3702,3702
"060190023",1,3577,3577
"060190024",1,4862,4862
"060190025",1,9826,9826
"060190026",1,9095,9095
"060190027",1,10135,10135
"060190028",1,5444,5444
"060190029",0.605779233288384,15723,25955
"060190030",0.378626247122026,9867,26060
"060190031",0.679926560587515,17776,26144
"060190032",0.393690611934626,10358,26310
"060190033",0.5,8591,17182
