"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"120310010",0.5,4886,9772
"120310011",0.5,1977,3954
"120310012",0.5,2066,4132
"120310013",0.5,3937,7874
"120310014",0.5,6039,12078
"120310015",0.5,4006,8012
"120310016",0.5,1710,3420
"120310021",0.329980989758999,5381,16307
"120310022",0.5,4608,9216
"120310023",1,1882,1882
"120310024",0.5,1944,3888
"120310025",0.351594974545794,7528,21411
"120310026",0.333333333333333,4165,12495
"120310027",0.5,7593,15186
"120310028",0.399642927990478,10073,25205
"120310029",0.5,7510,15020
"120310101",0.411517615176152,24296,59040
"120310102",0.577217692117618,14016,24282
"120310103",0.332673195370555,18310,55039
"120310104",0.386892589346577,7946,20538
"120310105",0.301099486087508,14706,48841
"120310106",0.127260351001805,4300,33789
"120310107",0.5,5203,10406
"120310108",0.5,5166,10332
"120310109",0.5,4213,8426
"120310110",0.5,4393,8786
"120310111",0.5,3417,6834
"120310112",0.333333333333333,2976,8928
"120310113",0.5,2909,5818
"120310114",0.5,2363,4726
"120310115",0.5,4103,8206
"120310116",0.5,3961,7922
"120310117",0.297449584816133,3009,10116
"120310118",0.346855983772819,2907,8381
"120310119",0.333025717581597,24539,73685
"120310120",0.333333333333333,5078,15234
"120310121",0.5,1571,3142
"120310122",0.354770224246981,8021,22609
"120310123",0.274703557312253,3614,13156
"120310124",0.5,2780,5560
"120310125",0.333333333333333,4358,13074
"120310126",0.5,9398,18796
"120310127",0.333333333333333,18339,55017
"120310128",0.5,7554,15108
"120310129",0.5,2702,5404
"120310130",0.5,2634,5268
"120310131",0.313592233009709,2261,7210
"120310132",0.5,1755,3510
"120310133",0.45448493925778,8193,18027
"120310134",0.580327558458771,12260,21126
"120310135",0.526309657311798,36138,68663
"120310137",0.459337673365412,40571,88325
"120310138",0.5,4965,9930
"120310139",0.495333333333333,23033,46500
"120310140",0.5,7217,14434
"120310141",0.5,9137,18274
"120310142",0.551435541377369,14693,26645
"120310143",0.444261140536212,92098,207306
"120310144",0.510888244526615,96024,187955
"120310145",0.5,4074,8148
"120310146",0.306276483050847,18504,60416
"120310147",0.543504471013765,10819,19906
"120310148",0.5,6329,12658
"120310149",0.5,13991,27982
"120310150",0.5,9978,19956
"120310151",0.5,4241,8482
"120310152",0.5,3193,6386
"120310153",0.5,3064,6128
"120310154",0.5,2699,5398
"120310155",0.5,8698,17396
"120310156",0.5,3797,7594
"120310157",0.387582449096645,5406,13948
"120310158",0.451227896488189,16408,36363
"120310159",0.542142145120736,36439,67213
"120310160",1,7129,7129
"120310161",0.384364820846906,8142,21183
"120310162",0.333333333333333,2697,8091
"120310163",0.368994413407821,2642,7160
